,open_time,close_time,open,high,low,close,volume,quote_asset_volume,number_of_trades,price
0,1712725200000,1712726099999,0.05085,0.05094,0.05083,0.05093,139.3887,7.09364533,475,0.05085
1,1712726100000,1712726999999,0.05093,0.05098,0.05084,0.05095,368.3763,18.75730513,1081,0.05093
2,1712727000000,1712727899999,0.05094,0.051,0.05093,0.05098,229.6231,11.70520577,719,0.05094
3,1712727900000,1712728799999,0.05098,0.05105,0.05097,0.05103,210.2314,10.72480732,878,0.05098
4,1712728800000,1712729699999,0.05102,0.05102,0.05098,0.05101,95.1916,4.85459829,270,0.05102
5,1712729700000,1712730599999,0.051,0.05116,0.05099,0.05115,245.1206,12.52293151,1188,0.051
6,1712730600000,1712731499999,0.05115,0.05117,0.05107,0.0511,363.2293,18.56644124,880,0.05115
7,1712731500000,1712732399999,0.0511,0.05111,0.05101,0.05101,87.3158,4.45769761,401,0.0511
8,1712732400000,1712733299999,0.05101,0.05107,0.05098,0.05107,195.8626,9.99402880,534,0.05101
9,1712733300000,1712734199999,0.05107,0.05107,0.05101,0.05103,133.4219,6.80951694,416,0.05107
10,1712734200000,1712735099999,0.05104,0.05106,0.05099,0.05102,100.3515,5.12028077,350,0.05104
11,1712735100000,1712735999999,0.05102,0.05108,0.05099,0.05102,166.6361,8.50455289,678,0.05102
12,1712736000000,1712736899999,0.05101,0.05102,0.05088,0.05092,321.5209,16.38041877,1263,0.05101
13,1712736900000,1712737799999,0.05092,0.05096,0.05089,0.05093,324.9358,16.54631898,864,0.05092
14,1712737800000,1712738699999,0.05092,0.05104,0.05091,0.05104,142.599,7.26998746,516,0.05092
15,1712738700000,1712739599999,0.05103,0.05105,0.05097,0.05098,368.4556,18.79373141,827,0.05103
16,1712739600000,1712740499999,0.05097,0.05098,0.05092,0.05095,174.1972,8.87560072,565,0.05097
17,1712740500000,1712741399999,0.05094,0.05101,0.05094,0.05096,207.3592,10.56932945,587,0.05094
18,1712741400000,1712742299999,0.05096,0.05103,0.05089,0.05101,237.102,12.08038099,985,0.05096
19,1712742300000,1712743199999,0.051,0.05116,0.05095,0.05109,248.5176,12.68848230,1774,0.051
20,1712743200000,1712744099999,0.05108,0.05118,0.05102,0.05104,446.5847,22.81436817,2321,0.05108
21,1712744100000,1712744999999,0.05104,0.05105,0.05086,0.05092,700.4785,35.68206010,3103,0.05104
22,1712745000000,1712745899999,0.05092,0.05102,0.05089,0.05101,125.5193,6.39361756,623,0.05092
23,1712745900000,1712746799999,0.05101,0.05111,0.05099,0.05106,264.1449,13.48444525,1171,0.05101
24,1712746800000,1712747699999,0.05107,0.05111,0.05099,0.05099,163.3875,8.33920736,709,0.05107
25,1712747700000,1712748599999,0.051,0.05103,0.05093,0.05096,193.6267,9.87317965,873,0.051
26,1712748600000,1712749499999,0.05097,0.05103,0.05095,0.051,214.9905,10.96048096,906,0.05097
27,1712749500000,1712750399999,0.05099,0.05102,0.05098,0.051,73.1924,3.73232210,233,0.05099
28,1712750400000,1712751299999,0.051,0.05102,0.05091,0.05093,207.4531,10.57125340,856,0.051
29,1712751300000,1712752199999,0.05092,0.051,0.05084,0.05099,466.6209,23.74664266,1883,0.05092
30,1712752200000,1712753099999,0.05097,0.05108,0.05053,0.05066,3039.1911,154.30717951,9511,0.05097
31,1712753100000,1712753999999,0.05066,0.05069,0.05059,0.0506,802.6887,40.64978280,2028,0.05066
32,1712754000000,1712754899999,0.0506,0.05061,0.05039,0.05057,1648.2013,83.21652602,3782,0.0506
33,1712754900000,1712755799999,0.05058,0.05073,0.05057,0.05071,440.5333,22.32116123,1434,0.05058
34,1712755800000,1712756699999,0.05072,0.05084,0.05071,0.05081,273.9666,13.91065157,1462,0.05072
35,1712756700000,1712757599999,0.05081,0.05082,0.0507,0.05071,340.1578,17.26419953,1585,0.05081
36,1712757600000,1712758499999,0.05072,0.05074,0.05065,0.05065,263.9857,13.38373891,1277,0.05072
37,1712758500000,1712759399999,0.05065,0.05068,0.05059,0.05065,539.3135,27.30625071,2096,0.05065
38,1712759400000,1712760299999,0.05066,0.05082,0.05064,0.05082,468.0191,23.72837075,1880,0.05066
39,1712760300000,1712761199999,0.05081,0.05081,0.05072,0.05076,270.8991,13.75072193,977,0.05081
40,1712761200000,1712762099999,0.05075,0.05075,0.05067,0.0507,231.9867,11.76393011,963,0.05075
41,1712762100000,1712762999999,0.05071,0.05077,0.05069,0.05073,253.0102,12.83377894,810,0.05071
42,1712763000000,1712763899999,0.05073,0.05078,0.05067,0.05067,279.9287,14.20193182,810,0.05073
43,1712763900000,1712764799999,0.05067,0.0507,0.05066,0.05069,414.1638,20.99278396,711,0.05067
44,1712764800000,1712765699999,0.05068,0.05068,0.05058,0.05062,619.258,31.35102496,1258,0.05068
45,1712765700000,1712766599999,0.05061,0.05062,0.05056,0.05056,294.4284,14.89501309,934,0.05061
46,1712766600000,1712767499999,0.05056,0.05067,0.05054,0.05065,250.8441,12.70135418,1125,0.05056
47,1712767500000,1712768399999,0.05066,0.0508,0.05063,0.05075,348.5522,17.67614104,1852,0.05066
