id,date,futures_contract,month,unfixed_sale,unfixed_purchase,report_week
1,2004-12-03,CTZ04,December 2004,82,326,49
2,2004-12-03,CTH05,March 2005,9232,3203,49
3,2004-12-03,CTK05,May 2005,6879,1538,49
4,2004-12-03,CTN05,July 2005,14553,634,49
5,2004-12-03,CTV05,October 2005,2574,141,49
6,2004-12-03,CTZ05,December 2005,3897,365,49
7,2004-12-03,CTH06,March 2006,364,0,49
8,2004-12-03,CTK06,May 2006,640,0,49
9,2004-12-10,CTZ04,December 2004,0,165,50
10,2004-12-10,CTH05,March 2005,8727,2805,50
11,2004-12-10,CTK05,May 2005,7018,1174,50
12,2004-12-10,CTN05,July 2005,14098,641,50
13,2004-12-10,CTV05,October 2005,2597,141,50
14,2004-12-10,CTZ05,December 2005,3899,366,50
15,2004-12-10,CTH06,March 2006,437,0,50
16,2004-12-10,CTK06,May 2006,711,0,50
17,2004-12-17,CTZ04,December 2004,0,0,51
18,2004-12-17,CTH05,March 2005,8610,2946,51
19,2004-12-17,CTK05,May 2005,7017,1193,51
20,2004-12-17,CTN05,July 2005,13928,676,51
21,2004-12-17,CTV05,October 2005,2608,141,51
22,2004-12-17,CTZ05,December 2005,3974,384,51
23,2004-12-17,CTH06,March 2006,461,0,51
24,2004-12-17,CTK06,May 2006,872,0,51
25,2004-12-24,CTH05,March 2005,8009,3048,52
26,2004-12-24,CTK05,May 2005,7391,1332,52
27,2004-12-24,CTN05,July 2005,13769,707,52
28,2004-12-24,CTV05,October 2005,2628,141,52
29,2004-12-24,CTZ05,December 2005,3957,404,52
30,2004-12-24,CTH06,March 2006,461,0,52
31,2004-12-24,CTK06,May 2006,872,0,52
32,2004-12-24,CTN06,July 2006,929,182,52
33,2004-11-05,CTZ04,December 2004,3564,5837,45
34,2004-11-05,CTH05,March 2005,9087,2396,45
35,2004-11-05,CTK05,May 2005,7618,756,45
36,2004-11-05,CTN05,July 2005,14706,327,45
37,2004-11-05,CTV05,October 2005,2016,0,45
38,2004-11-05,CTZ05,December 2005,3652,319,45
39,2004-11-05,CTH06,March 2006,367,0,45
40,2004-11-05,CTK06,May 2006,631,0,45
41,2004-11-12,CTZ04,December 2004,2980,3946,46
42,2004-11-12,CTH05,March 2005,9122,2579,46
43,2004-11-12,CTK05,May 2005,7141,767,46
44,2004-11-12,CTN05,July 2005,14372,300,46
45,2004-11-12,CTV05,October 2005,2032,0,46
46,2004-11-12,CTZ05,December 2005,3623,322,46
47,2004-11-12,CTH06,March 2006,357,0,46
48,2004-11-12,CTK06,May 2006,631,0,46
49,2004-11-19,CTZ04,December 2004,438,341,47
50,2004-11-19,CTH05,March 2005,9075,3000,47
51,2004-11-19,CTK05,May 2005,7229,882,47
52,2004-11-19,CTN05,July 2005,14499,406,47
53,2004-11-19,CTV05,October 2005,2188,141,47
54,2004-11-19,CTZ05,December 2005,3670,369,47
55,2004-11-19,CTH06,March 2006,362,0,47
56,2004-11-19,CTK06,May 2006,631,0,47
57,2004-11-26,CTZ04,December 2004,121,326,48
58,2004-11-26,CTH05,March 2005,9664,3186,48
59,2004-11-26,CTK05,May 2005,7079,882,48
60,2004-11-26,CTN05,July 2005,14501,511,48
61,2004-11-26,CTV05,October 2005,2375,141,48
62,2004-11-26,CTZ05,December 2005,3655,402,48
63,2004-11-26,CTH06,March 2006,351,0,48
64,2004-11-26,CTK06,May 2006,631,0,48
65,2004-10-01,CTV04,October 2004,3,44,40
66,2004-10-01,CTZ04,December 2004,6773,10765,40
67,2004-10-01,CTH05,March 2005,9824,742,40
68,2004-10-01,CTK05,May 2005,8810,745,40
69,2004-10-01,CTN05,July 2005,16397,122,40
70,2004-10-01,CTV05,October 2005,1876,0,40
71,2004-10-01,CTZ05,December 2005,3554,4,40
72,2004-10-01,CTH06,March 2006,287,0,40
73,2004-10-08,CTV04,October 2004,1,22,41
74,2004-10-08,CTZ04,December 2004,6683,11057,41
75,2004-10-08,CTH05,March 2005,10472,655,41
76,2004-10-08,CTK05,May 2005,9039,740,41
77,2004-10-08,CTN05,July 2005,16746,122,41
78,2004-10-08,CTV05,October 2005,1988,0,41
79,2004-10-08,CTZ05,December 2005,3667,204,41
80,2004-10-08,CTH06,March 2006,287,0,41
81,2004-10-15,CTV04,October 2004,0,0,42
82,2004-10-15,CTZ04,December 2004,5860,8590,42
83,2004-10-15,CTH05,March 2005,10004,1244,42
84,2004-10-15,CTK05,May 2005,8383,734,42
85,2004-10-15,CTN05,July 2005,15605,272,42
86,2004-10-15,CTV05,October 2005,1894,0,42
87,2004-10-15,CTZ05,December 2005,3575,204,42
88,2004-10-15,CTH06,March 2006,406,0,42
89,2004-10-22,CTZ04,December 2004,5682,6860,43
90,2004-10-22,CTH05,March 2005,9295,2280,43
91,2004-10-22,CTK05,May 2005,7840,756,43
92,2004-10-22,CTN05,July 2005,14976,294,43
93,2004-10-22,CTV05,October 2005,1894,0,43
94,2004-10-22,CTZ05,December 2005,3559,204,43
95,2004-10-22,CTH06,March 2006,406,0,43
96,2004-10-22,CTK06,May 2006,576,0,43
97,2004-10-29,CTZ04,December 2004,4501,6469,44
98,2004-10-29,CTH05,March 2005,9495,2383,44
99,2004-10-29,CTK05,May 2005,7935,756,44
100,2004-10-29,CTN05,July 2005,14817,305,44
101,2004-10-29,CTV05,October 2005,1921,0,44
102,2004-10-29,CTZ05,December 2005,3630,237,44
103,2004-10-29,CTH06,March 2006,406,0,44
104,2004-10-29,CTK06,May 2006,601,0,44
105,2004-09-03,CTV04,October 2004,306,497,36
106,2004-09-03,CTZ04,December 2004,7927,11988,36
107,2004-09-03,CTH05,March 2005,9963,398,36
108,2004-09-03,CTK05,May 2005,9110,835,36
109,2004-09-03,CTN05,July 2005,16536,122,36
110,2004-09-03,CTV05,October 2005,1781,0,36
111,2004-09-03,CTZ05,December 2005,3605,4,36
112,2004-09-03,CTH06,March 2006,265,0,36
113,2004-09-10,CTV04,October 2004,236,445,37
114,2004-09-10,CTZ04,December 2004,7458,11329,37
115,2004-09-10,CTH05,March 2005,9720,378,37
116,2004-09-10,CTK05,May 2005,8876,787,37
117,2004-09-10,CTN05,July 2005,16539,122,37
118,2004-09-10,CTV05,October 2005,1767,1,37
119,2004-09-10,CTZ05,December 2005,3628,4,37
120,2004-09-10,CTH06,March 2006,287,0,37
121,2004-09-17,CTV04,October 2004,218,232,38
122,2004-09-17,CTZ04,December 2004,7174,11343,38
123,2004-09-17,CTH05,March 2005,9740,413,38
124,2004-09-17,CTK05,May 2005,8929,787,38
125,2004-09-17,CTN05,July 2005,16626,122,38
126,2004-09-17,CTV05,October 2005,1775,0,38
127,2004-09-17,CTZ05,December 2005,3681,4,38
128,2004-09-17,CTH06,March 2006,287,0,38
129,2004-09-24,CTV04,October 2004,89,24,39
130,2004-09-24,CTZ04,December 2004,9189,12576,39
131,2004-09-24,CTH05,March 2005,9637,467,39
132,2004-09-24,CTK05,May 2005,9204,1141,39
133,2004-09-24,CTN05,July 2005,16332,122,39
134,2004-09-24,CTV05,October 2005,1826,0,39
135,2004-09-24,CTZ05,December 2005,3610,4,39
136,2004-09-24,CTH06,March 2006,287,0,39
137,2004-08-06,CTV04,October 2004,497,1530,32
138,2004-08-06,CTZ04,December 2004,9454,12151,32
139,2004-08-06,CTH05,March 2005,9979,146,32
140,2004-08-06,CTK05,May 2005,9437,1256,32
141,2004-08-06,CTN05,July 2005,15671,135,32
142,2004-08-06,CTV05,October 2005,1474,0,32
143,2004-08-06,CTZ05,December 2005,3221,4,32
144,2004-08-06,CTH06,March 2006,265,0,32
145,2004-08-13,CTV04,October 2004,422,1542,33
146,2004-08-13,CTZ04,December 2004,7182,11396,33
147,2004-08-13,CTH05,March 2005,9443,393,33
148,2004-08-13,CTK05,May 2005,8826,831,33
149,2004-08-13,CTN05,July 2005,15797,135,33
150,2004-08-13,CTV05,October 2005,1623,0,33
151,2004-08-13,CTZ05,December 2005,3360,4,33
152,2004-08-13,CTH06,March 2006,266,0,33
153,2004-08-20,CTV04,October 2004,450,1113,34
154,2004-08-20,CTZ04,December 2004,7197,11178,34
155,2004-08-20,CTH05,March 2005,9624,146,34
156,2004-08-20,CTK05,May 2005,8915,844,34
157,2004-08-20,CTN05,July 2005,15916,135,34
158,2004-08-20,CTV05,October 2005,1638,0,34
159,2004-08-20,CTZ05,December 2005,3394,4,34
160,2004-08-20,CTH06,March 2006,266,0,34
161,2004-08-27,CTV04,October 2004,392,803,35
162,2004-08-27,CTZ04,December 2004,7200,11985,35
163,2004-08-27,CTH05,March 2005,9630,184,35
164,2004-08-27,CTK05,May 2005,9007,856,35
165,2004-08-27,CTN05,July 2005,16105,135,35
166,2004-08-27,CTV05,October 2005,1646,0,35
167,2004-08-27,CTZ05,December 2005,3523,4,35
168,2004-08-27,CTH06,March 2006,204,0,35
169,2004-07-02,CTN04,July 2004,83,50,27
170,2004-07-02,CTV04,October 2004,1219,1890,27
171,2004-07-02,CTZ04,December 2004,8081,9117,27
172,2004-07-02,CTH05,March 2005,8828,173,27
173,2004-07-02,CTK05,May 2005,6182,203,27
174,2004-07-02,CTN05,July 2005,13118,117,27
175,2004-07-02,CTV05,October 2005,848,0,27
176,2004-07-02,CTZ05,December 2005,1817,0,27
177,2004-07-09,CTN04,July 2004,23,6,28
178,2004-07-09,CTV04,October 2004,1519,2350,28
179,2004-07-09,CTZ04,December 2004,7982,9372,28
180,2004-07-09,CTH05,March 2005,9127,162,28
181,2004-07-09,CTK05,May 2005,7952,817,28
182,2004-07-09,CTN05,July 2005,14598,114,28
183,2004-07-09,CTV05,October 2005,885,0,28
184,2004-07-09,CTZ05,December 2005,2347,0,28
185,2004-07-16,CTN04,July 2004,0,0,29
186,2004-07-16,CTV04,October 2004,1590,2340,29
