,id,date,a_index,ice_highest_open_interest_17_months,cc_index,mcx,cepea
0,1,1995-08-01,84.6,,,,
1,2,1995-08-02,83.6,,,,
2,3,1995-08-03,83.3,,,,
3,4,1995-08-04,83.6,,,,
4,5,1995-08-07,83.7,,,,
5,6,1995-08-08,83.7,,,,
6,7,1995-08-09,83.5,,,,
7,8,1995-08-10,83.15,,,,
8,9,1995-08-11,83.05,,,,
9,10,1995-08-14,83.55,,,,
10,11,1995-08-15,84.5,,,,
11,12,1995-08-16,83.45,,,,
12,13,1995-08-17,83.4,,,,
13,14,1995-08-18,84.4,,,,
14,15,1995-08-21,86.05,,,,
15,16,1995-08-22,87.25,,,,
16,17,1995-08-23,88.55,,,,
17,18,1995-08-24,88.05,,,,
18,19,1995-08-25,86.3,,,,
19,20,1995-08-29,87.1,,,,
20,21,1995-08-30,87.3,,,,
21,22,1995-08-31,89.3,,,,
22,23,1995-09-01,88.8,,,,
23,24,1995-09-04,89.7,,,,
24,25,1995-09-05,89.7,,,,
25,26,1995-09-06,89.0,,,,
26,27,1995-09-07,87.2,,,,
27,28,1995-09-08,86.3,,,,
28,29,1995-09-11,86.3,,,,
29,30,1995-09-12,86.7,,,,
30,31,1995-09-13,88.7,,,,
31,32,1995-09-14,90.7,,,,
32,33,1995-09-15,92.9,,,,
33,34,1995-09-18,94.9,,,,
34,35,1995-09-19,94.9,,,,
35,36,1995-09-20,92.2,,,,
36,37,1995-09-21,93.8,,,,
37,38,1995-09-22,95.4,,,,
38,39,1995-09-25,94.4,,,,
39,40,1995-09-26,93.5,,,,
40,41,1995-09-27,93.5,,,,
41,42,1995-09-28,93.1,,,,
42,43,1995-09-29,93.1,,,,
43,44,1995-10-02,93.7,,,,
44,45,1995-10-03,93.7,,,,
45,46,1995-10-04,93.9,,,,
46,47,1995-10-05,94.55,,,,
47,48,1995-10-06,93.15,,,,
48,49,1995-10-09,92.1,,,,
49,50,1995-10-10,93.1,,,,
50,51,1995-10-11,92.3,,,,
51,52,1995-10-12,90.95,,,,
52,53,1995-10-13,91.45,,,,
53,54,1995-10-16,91.4,,,,
54,55,1995-10-17,90.0,,,,
55,56,1995-10-18,89.0,,,,
56,57,1995-10-19,90.05,,,,
57,58,1995-10-20,89.8,,,,
58,59,1995-10-23,90.1,,,,
59,60,1995-10-24,90.1,,,,
60,61,1995-10-25,88.85,,,,
61,62,1995-10-26,89.05,,,,
62,63,1995-10-27,89.05,,,,
63,64,1995-10-30,89.15,,,,
64,65,1995-10-31,89.65,,,,
65,66,1995-11-01,89.35,,,,
66,67,1995-11-02,89.6,,,,
67,68,1995-11-03,89.6,,,,
68,69,1995-11-06,89.6,,,,
69,70,1995-11-07,89.9,,,,
70,71,1995-11-08,90.0,,,,
71,72,1995-11-09,89.05,,,,
72,73,1995-11-10,88.75,,,,
73,74,1995-11-13,88.75,,,,
74,75,1995-11-14,88.75,,,,
75,76,1995-11-15,89.4,,,,
76,77,1995-11-16,90.05,,,,
77,78,1995-11-17,89.1,,,,
78,79,1995-11-20,88.9,,,,
79,80,1995-11-21,88.9,,,,
80,81,1995-11-22,89.0,,,,
81,82,1995-11-23,89.0,,,,
82,83,1995-11-24,89.0,,,,
83,84,1995-11-27,89.0,,,,
84,85,1995-11-28,89.0,,,,
85,86,1995-11-29,88.8,,,,
86,87,1995-11-30,88.65,,,,
87,88,1995-12-01,88.65,,,,
88,89,1995-12-04,89.05,,,,
89,90,1995-12-05,89.25,,,,
90,91,1995-12-06,89.45,,,,
91,92,1995-12-07,88.65,,,,
92,93,1995-12-08,88.75,,,,
93,94,1995-12-11,88.75,,,,
94,95,1995-12-12,88.75,,,,
95,96,1995-12-13,88.15,,,,
96,97,1995-12-14,88.2,,,,
97,98,1995-12-15,88.1,,,,
98,99,1995-12-18,87.85,,,,
99,100,1995-12-19,87.25,,,,
100,101,1995-12-20,86.65,,,,
101,102,1995-12-21,86.65,,,,
102,103,1995-12-22,86.95,,,,
103,104,1995-12-27,86.4,,,,
104,105,1995-12-28,86.5,,,,
105,106,1995-12-29,86.5,,,,
106,107,1996-01-02,85.6,,,,
107,108,1996-01-03,85.4,,,,
108,109,1996-01-04,85.9,,,,
109,110,1996-01-05,86.5,,,,
110,111,1996-01-08,86.5,,,,
111,112,1996-01-09,86.5,,,,
112,113,1996-01-10,86.5,,,,
113,114,1996-01-11,85.85,,,,
