id,country_id,date,inflation,interest_rate
1,213,2023-11-01,3.7,0.0
2,213,2023-10-01,3.7,2.08
3,213,2023-09-01,3.7,1.7
4,213,2023-08-01,3.7,1.6
5,213,2023-07-01,3.2,1.43
6,213,2023-06-01,3.0,1.06
7,213,2023-05-01,4.0,1.54
8,213,2023-04-01,4.9,1.44
9,213,2023-03-01,5.0,2.06
10,213,2023-02-01,6.0,1.42
11,213,2023-01-01,6.4,1.78
12,213,2022-12-01,6.5,1.58
13,213,2022-11-01,7.1,1.93
14,213,2022-10-01,7.7,1.8
15,213,2022-09-01,8.2,1.2
16,213,2022-08-01,8.3,0.86
17,213,2022-07-01,8.5,1.06
18,213,2022-06-01,9.1,1.03
19,213,2022-05-01,8.6,1.2
20,213,2022-04-01,8.3,0.95
21,213,2022-03-01,8.5,0.35
22,213,2022-02-01,7.9,0.44
23,213,2022-01-01,7.5,0.32
24,213,2021-12-01,7.0,0.09
25,213,2021-11-01,6.8,0.16
26,213,2021-10-01,6.2,0.09
27,213,2021-09-01,5.4,-0.19
28,213,2021-08-01,5.3,-0.26
29,213,2021-07-01,5.4,0.04
30,213,2021-06-01,5.4,-0.01
31,213,2021-05-01,5.0,0.04
32,213,2021-04-01,4.2,0.12
33,213,2021-03-01,2.6,0.01
34,213,2021-02-01,1.7,-0.23
35,213,2021-01-01,1.4,-0.24
36,213,2020-12-01,1.4,-0.23
37,213,2020-11-01,1.2,-0.21
38,213,2020-10-01,1.2,-0.29
39,213,2020-09-01,1.4,-0.34
40,213,2020-08-01,1.3,-0.41
41,213,2020-07-01,1.0,-0.35
42,213,2020-06-01,0.6,-0.15
43,213,2020-05-01,0.1,-0.03
44,213,2020-04-01,0.3,-0.11
45,213,2020-03-01,1.5,-0.13
46,213,2020-02-01,2.3,0.32
47,213,2020-01-01,2.5,0.51
48,213,2019-12-01,2.3,0.51
49,213,2019-11-01,2.1,0.43
50,213,2019-10-01,1.8,0.37
51,213,2019-09-01,1.7,0.24
52,213,2019-08-01,1.7,0.42
53,213,2019-07-01,1.8,0.44
54,213,2019-06-01,1.6,0.42
55,213,2019-05-01,1.8,0.54
56,213,2019-04-01,2.0,0.42
57,213,2019-03-01,1.9,0.52
58,213,2019-02-01,1.5,1.07
59,213,2019-01-01,1.6,1.04
