state,date,condition,percent_value,previous_week,previous_year,publish_date,id
Alabama,2011-06-26,Very poor,16,22,1,2011-06-27,1
Arizona,2011-06-26,Very poor,0,22,1,2011-06-27,2
Arkansas,2011-06-26,Very poor,5,22,1,2011-06-27,3
California,2011-06-26,Very poor,0,22,1,2011-06-27,4
Georgia,2011-06-26,Very poor,20,22,1,2011-06-27,5
Kansas,2011-06-26,Very poor,5,22,1,2011-06-27,6
Louisiana,2011-06-26,Very poor,2,22,1,2011-06-27,7
Mississippi,2011-06-26,Very poor,4,22,1,2011-06-27,8
Missouri,2011-06-26,Very poor,6,22,1,2011-06-27,9
North Carolina,2011-06-26,Very poor,1,22,1,2011-06-27,10
Oklahoma,2011-06-26,Very poor,36,22,1,2011-06-27,11
South Carolina,2011-06-26,Very poor,1,22,1,2011-06-27,12
Tennessee,2011-06-26,Very poor,0,22,1,2011-06-27,13
Texas,2011-06-26,Very poor,31,22,1,2011-06-27,14
Virginia,2011-06-26,Very poor,0,22,1,2011-06-27,15
15 States,2011-06-26,Very poor,21,22,1,2011-06-27,16
Alabama,2011-06-26,Poor,27,17,5,2011-06-27,17
Arizona,2011-06-26,Poor,1,17,5,2011-06-27,18
Arkansas,2011-06-26,Poor,13,17,5,2011-06-27,19
California,2011-06-26,Poor,0,17,5,2011-06-27,20
Georgia,2011-06-26,Poor,27,17,5,2011-06-27,21
Kansas,2011-06-26,Poor,7,17,5,2011-06-27,22
Louisiana,2011-06-26,Poor,19,17,5,2011-06-27,23
Mississippi,2011-06-26,Poor,9,17,5,2011-06-27,24
Missouri,2011-06-26,Poor,14,17,5,2011-06-27,25
North Carolina,2011-06-26,Poor,6,17,5,2011-06-27,26
Oklahoma,2011-06-26,Poor,29,17,5,2011-06-27,27
South Carolina,2011-06-26,Poor,18,17,5,2011-06-27,28
Tennessee,2011-06-26,Poor,4,17,5,2011-06-27,29
Texas,2011-06-26,Poor,24,17,5,2011-06-27,30
Virginia,2011-06-26,Poor,0,17,5,2011-06-27,31
15 States,2011-06-26,Poor,20,17,5,2011-06-27,32
Alabama,2011-06-26,Fair,37,35,32,2011-06-27,33
Arizona,2011-06-26,Fair,28,35,32,2011-06-27,34
Arkansas,2011-06-26,Fair,36,35,32,2011-06-27,35
California,2011-06-26,Fair,45,35,32,2011-06-27,36
Georgia,2011-06-26,Fair,37,35,32,2011-06-27,37
Kansas,2011-06-26,Fair,41,35,32,2011-06-27,38
Louisiana,2011-06-26,Fair,36,35,32,2011-06-27,39
Mississippi,2011-06-26,Fair,21,35,32,2011-06-27,40
Missouri,2011-06-26,Fair,27,35,32,2011-06-27,41
North Carolina,2011-06-26,Fair,39,35,32,2011-06-27,42
Oklahoma,2011-06-26,Fair,25,35,32,2011-06-27,43
South Carolina,2011-06-26,Fair,48,35,32,2011-06-27,44
Tennessee,2011-06-26,Fair,21,35,32,2011-06-27,45
Texas,2011-06-26,Fair,31,35,32,2011-06-27,46
Virginia,2011-06-26,Fair,4,35,32,2011-06-27,47
15 States,2011-06-26,Fair,32,35,32,2011-06-27,48
Alabama,2011-06-26,Good,19,24,49,2011-06-27,49
Arizona,2011-06-26,Good,58,24,49,2011-06-27,50
Arkansas,2011-06-26,Good,35,24,49,2011-06-27,51
California,2011-06-26,Good,25,24,49,2011-06-27,52
Georgia,2011-06-26,Good,13,24,49,2011-06-27,53
Kansas,2011-06-26,Good,43,24,49,2011-06-27,54
Louisiana,2011-06-26,Good,41,24,49,2011-06-27,55
Mississippi,2011-06-26,Good,52,24,49,2011-06-27,56
Missouri,2011-06-26,Good,51,24,49,2011-06-27,57
North Carolina,2011-06-26,Good,51,24,49,2011-06-27,58
Oklahoma,2011-06-26,Good,10,24,49,2011-06-27,59
South Carolina,2011-06-26,Good,32,24,49,2011-06-27,60
Tennessee,2011-06-26,Good,66,24,49,2011-06-27,61
Texas,2011-06-26,Good,14,24,49,2011-06-27,62
Virginia,2011-06-26,Good,82,24,49,2011-06-27,63
15 States,2011-06-26,Good,24,24,49,2011-06-27,64
Alabama,2011-06-26,Excellent,1,2,13,2011-06-27,65
Arizona,2011-06-26,Excellent,13,2,13,2011-06-27,66
Arkansas,2011-06-26,Excellent,11,2,13,2011-06-27,67
California,2011-06-26,Excellent,30,2,13,2011-06-27,68
Georgia,2011-06-26,Excellent,3,2,13,2011-06-27,69
Kansas,2011-06-26,Excellent,4,2,13,2011-06-27,70
Louisiana,2011-06-26,Excellent,2,2,13,2011-06-27,71
Mississippi,2011-06-26,Excellent,14,2,13,2011-06-27,72
Missouri,2011-06-26,Excellent,2,2,13,2011-06-27,73
North Carolina,2011-06-26,Excellent,3,2,13,2011-06-27,74
Oklahoma,2011-06-26,Excellent,0,2,13,2011-06-27,75
South Carolina,2011-06-26,Excellent,1,2,13,2011-06-27,76
Tennessee,2011-06-26,Excellent,9,2,13,2011-06-27,77
Texas,2011-06-26,Excellent,0,2,13,2011-06-27,78
Virginia,2011-06-26,Excellent,14,2,13,2011-06-27,79
15 States,2011-06-26,Excellent,3,2,13,2011-06-27,80
Alabama,2011-06-19,Very poor,14,17,1,2011-06-20,81
Arizona,2011-06-19,Very poor,0,17,1,2011-06-20,82
Arkansas,2011-06-19,Very poor,4,17,1,2011-06-20,83
California,2011-06-19,Very poor,0,17,1,2011-06-20,84
Georgia,2011-06-19,Very poor,19,17,1,2011-06-20,85
Kansas,2011-06-19,Very poor,5,17,1,2011-06-20,86
Louisiana,2011-06-19,Very poor,3,17,1,2011-06-20,87
Mississippi,2011-06-19,Very poor,5,17,1,2011-06-20,88
Missouri,2011-06-19,Very poor,6,17,1,2011-06-20,89
North Carolina,2011-06-19,Very poor,0,17,1,2011-06-20,90
Oklahoma,2011-06-19,Very poor,30,17,1,2011-06-20,91
South Carolina,2011-06-19,Very poor,4,17,1,2011-06-20,92
Tennessee,2011-06-19,Very poor,1,17,1,2011-06-20,93
Texas,2011-06-19,Very poor,35,17,1,2011-06-20,94
Virginia,2011-06-19,Very poor,0,17,1,2011-06-20,95
15 States,2011-06-19,Very poor,22,17,1,2011-06-20,96
Alabama,2011-06-19,Poor,25,17,4,2011-06-20,97
Arizona,2011-06-19,Poor,1,17,4,2011-06-20,98
Arkansas,2011-06-19,Poor,12,17,4,2011-06-20,99
California,2011-06-19,Poor,5,17,4,2011-06-20,100
Georgia,2011-06-19,Poor,25,17,4,2011-06-20,101
Kansas,2011-06-19,Poor,3,17,4,2011-06-20,102
Louisiana,2011-06-19,Poor,20,17,4,2011-06-20,103
Mississippi,2011-06-19,Poor,13,17,4,2011-06-20,104
Missouri,2011-06-19,Poor,19,17,4,2011-06-20,105
North Carolina,2011-06-19,Poor,6,17,4,2011-06-20,106
Oklahoma,2011-06-19,Poor,18,17,4,2011-06-20,107
South Carolina,2011-06-19,Poor,19,17,4,2011-06-20,108
Tennessee,2011-06-19,Poor,8,17,4,2011-06-20,109
Texas,2011-06-19,Poor,19,17,4,2011-06-20,110
Virginia,2011-06-19,Poor,0,17,4,2011-06-20,111
15 States,2011-06-19,Poor,17,17,4,2011-06-20,112
Alabama,2011-06-19,Fair,44,38,33,2011-06-20,113
Arizona,2011-06-19,Fair,22,38,33,2011-06-20,114
Arkansas,2011-06-19,Fair,35,38,33,2011-06-20,115
California,2011-06-19,Fair,60,38,33,2011-06-20,116
Georgia,2011-06-19,Fair,38,38,33,2011-06-20,117
Kansas,2011-06-19,Fair,45,38,33,2011-06-20,118
Louisiana,2011-06-19,Fair,36,38,33,2011-06-20,119
Mississippi,2011-06-19,Fair,26,38,33,2011-06-20,120
Missouri,2011-06-19,Fair,32,38,33,2011-06-20,121
North Carolina,2011-06-19,Fair,32,38,33,2011-06-20,122
Oklahoma,2011-06-19,Fair,34,38,33,2011-06-20,123
South Carolina,2011-06-19,Fair,43,38,33,2011-06-20,124
Tennessee,2011-06-19,Fair,21,38,33,2011-06-20,125
Texas,2011-06-19,Fair,32,38,33,2011-06-20,126
Virginia,2011-06-19,Fair,3,38,33,2011-06-20,127
15 States,2011-06-19,Fair,35,38,33,2011-06-20,128
Alabama,2011-06-19,Good,16,25,49,2011-06-20,129
Arizona,2011-06-19,Good,62,25,49,2011-06-20,130
Arkansas,2011-06-19,Good,38,25,49,2011-06-20,131
California,2011-06-19,Good,25,25,49,2011-06-20,132
Georgia,2011-06-19,Good,15,25,49,2011-06-20,133
Kansas,2011-06-19,Good,43,25,49,2011-06-20,134
Louisiana,2011-06-19,Good,40,25,49,2011-06-20,135
Mississippi,2011-06-19,Good,48,25,49,2011-06-20,136
Missouri,2011-06-19,Good,40,25,49,2011-06-20,137
North Carolina,2011-06-19,Good,58,25,49,2011-06-20,138
Oklahoma,2011-06-19,Good,18,25,49,2011-06-20,139
South Carolina,2011-06-19,Good,34,25,49,2011-06-20,140
Tennessee,2011-06-19,Good,64,25,49,2011-06-20,141
Texas,2011-06-19,Good,14,25,49,2011-06-20,142
Virginia,2011-06-19,Good,83,25,49,2011-06-20,143
15 States,2011-06-19,Good,24,25,49,2011-06-20,144
Alabama,2011-06-19,Excellent,1,3,13,2011-06-20,145
Arizona,2011-06-19,Excellent,15,3,13,2011-06-20,146
Arkansas,2011-06-19,Excellent,11,3,13,2011-06-20,147
California,2011-06-19,Excellent,10,3,13,2011-06-20,148
Georgia,2011-06-19,Excellent,3,3,13,2011-06-20,149
Kansas,2011-06-19,Excellent,4,3,13,2011-06-20,150
Louisiana,2011-06-19,Excellent,1,3,13,2011-06-20,151
Mississippi,2011-06-19,Excellent,8,3,13,2011-06-20,152
Missouri,2011-06-19,Excellent,3,3,13,2011-06-20,153
North Carolina,2011-06-19,Excellent,4,3,13,2011-06-20,154
Oklahoma,2011-06-19,Excellent,0,3,13,2011-06-20,155
South Carolina,2011-06-19,Excellent,0,3,13,2011-06-20,156
Tennessee,2011-06-19,Excellent,6,3,13,2011-06-20,157
Texas,2011-06-19,Excellent,0,3,13,2011-06-20,158
Virginia,2011-06-19,Excellent,14,3,13,2011-06-20,159
15 States,2011-06-19,Excellent,2,3,13,2011-06-20,160
Alabama,2011-06-12,Very poor,10,0,0,2011-06-13,241
Arizona,2011-06-12,Very poor,0,0,0,2011-06-13,242
Arkansas,2011-06-12,Very poor,4,0,0,2011-06-13,243
California,2011-06-12,Very poor,0,0,0,2011-06-13,244
Georgia,2011-06-12,Very poor,17,0,0,2011-06-13,245
Kansas,2011-06-12,Very poor,0,0,0,2011-06-13,246
Louisiana,2011-06-12,Very poor,1,0,0,2011-06-13,247
Mississippi,2011-06-12,Very poor,1,0,0,2011-06-13,248
Missouri,2011-06-12,Very poor,11,0,0,2011-06-13,249
North Carolina,2011-06-12,Very poor,0,0,0,2011-06-13,250
Oklahoma,2011-06-12,Very poor,34,0,0,2011-06-13,251
South Carolina,2011-06-12,Very poor,4,0,0,2011-06-13,252
Tennessee,2011-06-12,Very poor,1,0,0,2011-06-13,253
Texas,2011-06-12,Very poor,26,0,0,2011-06-13,254
Virginia,2011-06-12,Very poor,0,0,0,2011-06-13,255
15 States,2011-06-12,Very poor,17,0,0,2011-06-13,256
Alabama,2011-06-12,Poor,31,0,4,2011-06-13,257
Arizona,2011-06-12,Poor,0,0,4,2011-06-13,258
Arkansas,2011-06-12,Poor,11,0,4,2011-06-13,259
California,2011-06-12,Poor,0,0,4,2011-06-13,260
Georgia,2011-06-12,Poor,29,0,4,2011-06-13,261
Kansas,2011-06-12,Poor,2,0,4,2011-06-13,262
Louisiana,2011-06-12,Poor,19,0,4,2011-06-13,263
Mississippi,2011-06-12,Poor,7,0,4,2011-06-13,264
Missouri,2011-06-12,Poor,18,0,4,2011-06-13,265
North Carolina,2011-06-12,Poor,5,0,4,2011-06-13,266
Oklahoma,2011-06-12,Poor,9,0,4,2011-06-13,267
South Carolina,2011-06-12,Poor,22,0,4,2011-06-13,268
Tennessee,2011-06-12,Poor,10,0,4,2011-06-13,269
Texas,2011-06-12,Poor,18,0,4,2011-06-13,270
Virginia,2011-06-12,Poor,0,0,4,2011-06-13,271
15 States,2011-06-12,Poor,17,0,4,2011-06-13,272
Alabama,2011-06-12,Fair,38,0,34,2011-06-13,273
Arizona,2011-06-12,Fair,39,0,34,2011-06-13,274
Arkansas,2011-06-12,Fair,42,0,34,2011-06-13,275
California,2011-06-12,Fair,80,0,34,2011-06-13,276
Georgia,2011-06-12,Fair,34,0,34,2011-06-13,277
Kansas,2011-06-12,Fair,43,0,34,2011-06-13,278
Louisiana,2011-06-12,Fair,36,0,34,2011-06-13,279
Mississippi,2011-06-12,Fair,33,0,34,2011-06-13,280
Missouri,2011-06-12,Fair,32,0,34,2011-06-13,281
North Carolina,2011-06-12,Fair,30,0,34,2011-06-13,282
Oklahoma,2011-06-12,Fair,34,0,34,2011-06-13,283
South Carolina,2011-06-12,Fair,47,0,34,2011-06-13,284
Tennessee,2011-06-12,Fair,28,0,34,2011-06-13,285
Texas,2011-06-12,Fair,38,0,34,2011-06-13,286
Virginia,2011-06-12,Fair,7,0,34,2011-06-13,287
15 States,2011-06-12,Fair,38,0,34,2011-06-13,288
Alabama,2011-06-12,Good,20,0,51,2011-06-13,289
Arizona,2011-06-12,Good,44,0,51,2011-06-13,290
Arkansas,2011-06-12,Good,33,0,51,2011-06-13,291
California,2011-06-12,Good,15,0,51,2011-06-13,292
Georgia,2011-06-12,Good,17,0,51,2011-06-13,293
Kansas,2011-06-12,Good,51,0,51,2011-06-13,294
Louisiana,2011-06-12,Good,42,0,51,2011-06-13,295
Mississippi,2011-06-12,Good,48,0,51,2011-06-13,296
Missouri,2011-06-12,Good,34,0,51,2011-06-13,297
North Carolina,2011-06-12,Good,59,0,51,2011-06-13,298
Oklahoma,2011-06-12,Good,20,0,51,2011-06-13,299
South Carolina,2011-06-12,Good,27,0,51,2011-06-13,300
Tennessee,2011-06-12,Good,59,0,51,2011-06-13,301
Texas,2011-06-12,Good,17,0,51,2011-06-13,302
Virginia,2011-06-12,Good,78,0,51,2011-06-13,303
15 States,2011-06-12,Good,25,0,51,2011-06-13,304
Alabama,2011-06-12,Excellent,1,0,11,2011-06-13,305
Arizona,2011-06-12,Excellent,17,0,11,2011-06-13,306
Arkansas,2011-06-12,Excellent,10,0,11,2011-06-13,307
California,2011-06-12,Excellent,5,0,11,2011-06-13,308
Georgia,2011-06-12,Excellent,3,0,11,2011-06-13,309
Kansas,2011-06-12,Excellent,4,0,11,2011-06-13,310
Louisiana,2011-06-12,Excellent,2,0,11,2011-06-13,311
Mississippi,2011-06-12,Excellent,11,0,11,2011-06-13,312
Missouri,2011-06-12,Excellent,5,0,11,2011-06-13,313
North Carolina,2011-06-12,Excellent,6,0,11,2011-06-13,314
Oklahoma,2011-06-12,Excellent,3,0,11,2011-06-13,315
South Carolina,2011-06-12,Excellent,0,0,11,2011-06-13,316
Tennessee,2011-06-12,Excellent,2,0,11,2011-06-13,317
Texas,2011-06-12,Excellent,1,0,11,2011-06-13,318
Virginia,2011-06-12,Excellent,15,0,11,2011-06-13,319
15 States,2011-06-12,Excellent,3,0,11,2011-06-13,320
Alabama,2011-07-24,Very poor,13,21,2,2011-07-25,321
Arizona,2011-07-24,Very poor,0,21,2,2011-07-25,322
Arkansas,2011-07-24,Very poor,5,21,2,2011-07-25,323
California,2011-07-24,Very poor,0,21,2,2011-07-25,324
Georgia,2011-07-24,Very poor,15,21,2,2011-07-25,325
Kansas,2011-07-24,Very poor,9,21,2,2011-07-25,326
Louisiana,2011-07-24,Very poor,1,21,2,2011-07-25,327
Mississippi,2011-07-24,Very poor,2,21,2,2011-07-25,328
Missouri,2011-07-24,Very poor,4,21,2,2011-07-25,329
North Carolina,2011-07-24,Very poor,1,21,2,2011-07-25,330
Oklahoma,2011-07-24,Very poor,41,21,2,2011-07-25,331
South Carolina,2011-07-24,Very poor,7,21,2,2011-07-25,332
Tennessee,2011-07-24,Very poor,0,21,2,2011-07-25,333
Texas,2011-07-24,Very poor,37,21,2,2011-07-25,334
Virginia,2011-07-24,Very poor,0,21,2,2011-07-25,335
15 States,2011-07-24,Very poor,23,21,2,2011-07-25,336
Alabama,2011-07-24,Poor,19,19,6,2011-07-25,337
Arizona,2011-07-24,Poor,0,19,6,2011-07-25,338
Arkansas,2011-07-24,Poor,12,19,6,2011-07-25,339
California,2011-07-24,Poor,0,19,6,2011-07-25,340
Georgia,2011-07-24,Poor,19,19,6,2011-07-25,341
Kansas,2011-07-24,Poor,12,19,6,2011-07-25,342
Louisiana,2011-07-24,Poor,25,19,6,2011-07-25,343
Mississippi,2011-07-24,Poor,11,19,6,2011-07-25,344
Missouri,2011-07-24,Poor,8,19,6,2011-07-25,345
North Carolina,2011-07-24,Poor,11,19,6,2011-07-25,346
Oklahoma,2011-07-24,Poor,38,19,6,2011-07-25,347
South Carolina,2011-07-24,Poor,17,19,6,2011-07-25,348
Tennessee,2011-07-24,Poor,1,19,6,2011-07-25,349
Texas,2011-07-24,Poor,22,19,6,2011-07-25,350
Virginia,2011-07-24,Poor,0,19,6,2011-07-25,351
15 States,2011-07-24,Poor,18,19,6,2011-07-25,352
Alabama,2011-07-24,Fair,30,32,24,2011-07-25,353
Arizona,2011-07-24,Fair,13,32,24,2011-07-25,354
Arkansas,2011-07-24,Fair,34,32,24,2011-07-25,355
California,2011-07-24,Fair,35,32,24,2011-07-25,356
Georgia,2011-07-24,Fair,38,32,24,2011-07-25,357
Kansas,2011-07-24,Fair,49,32,24,2011-07-25,358
Louisiana,2011-07-24,Fair,33,32,24,2011-07-25,359
Mississippi,2011-07-24,Fair,23,32,24,2011-07-25,360
Missouri,2011-07-24,Fair,31,32,24,2011-07-25,361
North Carolina,2011-07-24,Fair,41,32,24,2011-07-25,362
Oklahoma,2011-07-24,Fair,16,32,24,2011-07-25,363
South Carolina,2011-07-24,Fair,45,32,24,2011-07-25,364
Tennessee,2011-07-24,Fair,18,32,24,2011-07-25,365
Texas,2011-07-24,Fair,28,32,24,2011-07-25,366
Virginia,2011-07-24,Fair,13,32,24,2011-07-25,367
15 States,2011-07-24,Fair,30,32,24,2011-07-25,368
Alabama,2011-07-24,Good,33,24,49,2011-07-25,369
Arizona,2011-07-24,Good,65,24,49,2011-07-25,370
Arkansas,2011-07-24,Good,36,24,49,2011-07-25,371
California,2011-07-24,Good,50,24,49,2011-07-25,372
Georgia,2011-07-24,Good,24,24,49,2011-07-25,373
Kansas,2011-07-24,Good,25,24,49,2011-07-25,374
Louisiana,2011-07-24,Good,33,24,49,2011-07-25,375
Mississippi,2011-07-24,Good,46,24,49,2011-07-25,376
Missouri,2011-07-24,Good,53,24,49,2011-07-25,377
North Carolina,2011-07-24,Good,40,24,49,2011-07-25,378
Oklahoma,2011-07-24,Good,5,24,49,2011-07-25,379
South Carolina,2011-07-24,Good,30,24,49,2011-07-25,380
Tennessee,2011-07-24,Good,66,24,49,2011-07-25,381
Texas,2011-07-24,Good,13,24,49,2011-07-25,382
Virginia,2011-07-24,Good,66,24,49,2011-07-25,383
15 States,2011-07-24,Good,25,24,49,2011-07-25,384
Alabama,2011-07-24,Excellent,5,4,19,2011-07-25,385
Arizona,2011-07-24,Excellent,22,4,19,2011-07-25,386
Arkansas,2011-07-24,Excellent,13,4,19,2011-07-25,387
California,2011-07-24,Excellent,15,4,19,2011-07-25,388
Georgia,2011-07-24,Excellent,4,4,19,2011-07-25,389
Kansas,2011-07-24,Excellent,5,4,19,2011-07-25,390
Louisiana,2011-07-24,Excellent,8,4,19,2011-07-25,391
Mississippi,2011-07-24,Excellent,18,4,19,2011-07-25,392
Missouri,2011-07-24,Excellent,4,4,19,2011-07-25,393
North Carolina,2011-07-24,Excellent,7,4,19,2011-07-25,394
Oklahoma,2011-07-24,Excellent,0,4,19,2011-07-25,395
South Carolina,2011-07-24,Excellent,1,4,19,2011-07-25,396
Tennessee,2011-07-24,Excellent,15,4,19,2011-07-25,397
Texas,2011-07-24,Excellent,0,4,19,2011-07-25,398
Virginia,2011-07-24,Excellent,21,4,19,2011-07-25,399
15 States,2011-07-24,Excellent,4,4,19,2011-07-25,400
Alabama,2011-07-17,Very poor,13,23,2,2011-07-18,401
Arizona,2011-07-17,Very poor,0,23,2,2011-07-18,402
Arkansas,2011-07-17,Very poor,7,23,2,2011-07-18,403
